Airline,Month_num,Passengers_In,Passengers_Out
Air Caledonie International,1,8291,7336
Air Caledonie International,2,3889,6148
Air Caledonie International,3,3957,4409
Air Caledonie International,4,4965,4911
Air Caledonie International,5,3996,3786
Air Caledonie International,6,4001,5143
Air Caledonie International,7,3969,4200
Air Caledonie International,8,5575,5017
Air Caledonie International,9,4377,4832
Air Caledonie International,10,5962,5901
Air Caledonie International,11,5233,5542
Air Caledonie International,12,6944,5827
Air Canada,1,20122,16999
Air Canada,2,18173,14098
Air Canada,3,16966,18414
Air Canada,4,13149,18147
Air Canada,5,13557,18280
Air Canada,6,16202,18943
Air Canada,7,20502,19483
Air Canada,8,18096,19464
Air Canada,9,18211,15858
Air Canada,10,17104,11799
Air Canada,11,14694,14857
Air Canada,12,16792,20523
Air Chathams,9,90,87
Air Chathams,10,124,138
Air Chathams,11,166,137
Air Chathams,12,169,144
Air China,1,28053,24187
Air China,2,27454,22903
Air China,3,20223,18759
Air China,4,13555,14829
Air China,5,11015,14577
Air China,6,10001,14746
Air China,7,11095,12879
Air China,8,11676,13914
Air China,9,9657,13977
Air China,10,12003,14687
Air China,11,16089,20320
Air China,12,18332,23232
Air India,1,8510,7573
Air India,2,7863,6094
Air India,3,7270,6841
Air India,4,7901,7867
Air India,5,7963,6119
Air India,6,8144,7827
Air India,7,8395,6145
Air India,8,8453,7521
Air India,9,7630,7475
Air India,10,8121,7491
Air India,11,7051,7790
Air India,12,7794,8536
Air Mauritius,1,3535,3098
Air Mauritius,2,2010,1417
Air Mauritius,3,1641,1873
Air Mauritius,4,1755,2043
Air Mauritius,5,2040,2088
Air Mauritius,6,1680,2100
Air Mauritius,7,2458,2213
Air Mauritius,8,1751,1808
Air Mauritius,9,2314,2157
Air Mauritius,10,2434,2034
Air Mauritius,11,2028,1786
Air Mauritius,12,2870,3067
Air New Zealand,1,144286,133584
Air New Zealand,2,119061,118649
Air New Zealand,3,135759,126866
Air New Zealand,4,124791,116423
Air New Zealand,5,107654,99812
Air New Zealand,6,98665,102327
Air New Zealand,7,120321,118084
