,Airline,Date,Month-Year,Freight_In_(tonnes),Year,Freight_In_(tonnes)_rolling3mnthAvg
396,AOM French Airlines,1/1/18,,0,2018,0
397,AOM French Airlines,1/2/18,,0,2018,0
398,AOM French Airlines,1/3/18,,0,2018,0
399,AOM French Airlines,1/4/18,,0,2018,0
400,AOM French Airlines,1/5/18,,0,2018,0
401,AOM French Airlines,1/6/18,,0,2018,0
402,AOM French Airlines,1/7/18,,0,2018,0
403,AOM French Airlines,1/8/18,,0,2018,0
404,AOM French Airlines,1/9/18,,0,2018,0
405,AOM French Airlines,1/10/18,,0,2018,0
406,AOM French Airlines,1/11/18,,0,2018,0
407,AOM French Airlines,1/12/18,,0,2018,0
826,Aeroflot Russian Intl A/l,1/1/18,,0,2018,0
827,Aeroflot Russian Intl A/l,1/2/18,,0,2018,0
828,Aeroflot Russian Intl A/l,1/3/18,,0,2018,0
829,Aeroflot Russian Intl A/l,1/4/18,,0,2018,0
830,Aeroflot Russian Intl A/l,1/5/18,,0,2018,0
831,Aeroflot Russian Intl A/l,1/6/18,,0,2018,0
832,Aeroflot Russian Intl A/l,1/7/18,,0,2018,0
833,Aeroflot Russian Intl A/l,1/8/18,,0,2018,0
834,Aeroflot Russian Intl A/l,1/9/18,,0,2018,0
835,Aeroflot Russian Intl A/l,1/10/18,,0,2018,0
836,Aeroflot Russian Intl A/l,1/11/18,,0,2018,0
837,Aeroflot Russian Intl A/l,1/12/18,,0,2018,0
1256,Aerolineas Argentinas,1/1/18,,0,2018,0
1257,Aerolineas Argentinas,1/2/18,,0,2018,0
1258,Aerolineas Argentinas,1/3/18,,0,2018,0
1259,Aerolineas Argentinas,1/4/18,,0,2018,0
1260,Aerolineas Argentinas,1/5/18,,0,2018,0
1261,Aerolineas Argentinas,1/6/18,,0,2018,0
1262,Aerolineas Argentinas,1/7/18,,0,2018,0
1263,Aerolineas Argentinas,1/8/18,,0,2018,0
1264,Aerolineas Argentinas,1/9/18,,0,2018,0
1265,Aerolineas Argentinas,1/10/18,,0,2018,0
1266,Aerolineas Argentinas,1/11/18,,0,2018,0
1267,Aerolineas Argentinas,1/12/18,,0,2018,0
1686,Air Austral,1/1/18,,0,2018,0
1687,Air Austral,1/2/18,,0,2018,0
1688,Air Austral,1/3/18,,0,2018,0
1689,Air Austral,1/4/18,,0,2018,0
1690,Air Austral,1/5/18,,0,2018,0
1691,Air Austral,1/6/18,,0,2018,0
1692,Air Austral,1/7/18,,0,2018,0
1693,Air Austral,1/8/18,,0,2018,0
1694,Air Austral,1/9/18,,0,2018,0
1695,Air Austral,1/10/18,,0,2018,0
1696,Air Austral,1/11/18,,0,2018,0
1697,Air Austral,1/12/18,,0,2018,0
2116,Air Australia,1/1/18,,0,2018,0
2117,Air Australia,1/2/18,,0,2018,0
2118,Air Australia,1/3/18,,0,2018,0
2119,Air Australia,1/4/18,,0,2018,0
2120,Air Australia,1/5/18,,0,2018,0
2121,Air Australia,1/6/18,,0,2018,0
2122,Air Australia,1/7/18,,0,2018,0
2123,Air Australia,1/8/18,,0,2018,0
2124,Air Australia,1/9/18,,0,2018,0
2125,Air Australia,1/10/18,,0,2018,0
2126,Air Australia,1/11/18,,0,2018,0
2127,Air Australia,1/12/18,,0,2018,0
2546,Air Caledonie,1/1/18,,0,2018,0
2547,Air Caledonie,1/2/18,,0,2018,0
2548,Air Caledonie,1/3/18,,0,2018,0
2549,Air Caledonie,1/4/18,,0,2018,0
2550,Air Caledonie,1/5/18,,0,2018,0
2551,Air Caledonie,1/6/18,,0,2018,0
2552,Air Caledonie,1/7/18,,0,2018,0
2553,Air Caledonie,1/8/18,,0,2018,0
2554,Air Caledonie,1/9/18,,0,2018,0
2555,Air Caledonie,1/10/18,,0,2018,0
2556,Air Caledonie,1/11/18,,0,2018,0
2557,Air Caledonie,1/12/18,,0,2018,0
2976,Air Caledonie International,1/1/18,1/1/18,2.942,2018,7.518
2977,Air Caledonie International,1/2/18,1/2/18,4.546,2018,6.741333333
2978,Air Caledonie International,1/3/18,1/3/18,4.184,2018,3.890666667
2979,Air Caledonie International,1/4/18,1/4/18,8.042,2018,5.590666667
2980,Air Caledonie International,1/5/18,1/5/18,2.332,2018,4.852666667
2981,Air Caledonie International,1/6/18,1/6/18,4.765,2018,5.046333333
2982,Air Caledonie International,1/7/18,1/7/18,2.681,2018,3.259333333
2983,Air Caledonie International,1/8/18,1/8/18,7.005,2018,4.817
2984,Air Caledonie International,1/9/18,1/9/18,4.509,2018,4.731666667
2985,Air Caledonie International,1/10/18,1/10/18,4.714,2018,5.409333333
2986,Air Caledonie International,1/11/18,1/11/18,3.119,2018,4.114
2987,Air Caledonie International,1/12/18,1/12/18,1.92,2018,3.251
3406,Air Canada,1/1/18,1/1/18,268.328,2018,352.9983333
3407,Air Canada,1/2/18,1/2/18,242.434,2018,322.4676667
3408,Air Canada,1/3/18,1/3/18,336.101,2018,282.2876667
3409,Air Canada,1/4/18,1/4/18,389.111,2018,322.5486667
3410,Air Canada,1/5/18,1/5/18,433.189,2018,386.1336667
3411,Air Canada,1/6/18,1/6/18,522.835,2018,448.3783333
3412,Air Canada,1/7/18,1/7/18,370.029,2018,442.0176667
3413,Air Canada,1/8/18,1/8/18,438.725,2018,443.863
3414,Air Canada,1/9/18,1/9/18,338.763,2018,382.5056667
