First Name,Date,,Second Name (possibly),Date,,Verification (seems possible based on locations),
Union de Transports Aeriens,1/12/92,,Air France,1/1/93,,First,Second
National Airlines,1/9/94,,Middle East Airlines,1/10/94,,Union de Transports Aeriens,Air France
Ansett Air Freight,1/3/95,,Continental Micronesia,1/4/95,,Air France,AOM French Airlines
Air France,1/10/95,,EgyptAir,1/11/95,,Canadian Airlines Intl,Air Canada
Aeroflot Russian Intl A/l,1/3/96,,AOM French Airlines,1/11/95,,Polynesian Airlines,Virgin Samoa?
Kiwi Travel Intl Airlines,1/9/96,,Vietnam Airlines,1/4/96,,Lauda Air,Austrian Airlines
Canadian Airlines Intl,1/12/00,,Freedom Air International,1/10/96,,Kiwi Travel Intl Airlines,Freedom Air International
Polynesian Airlines,1/12/03,,Air Canada,1/1/01,,Lan Chile,LAN Airlines
Lauda Air,1/6/05,,Virgin Australia,1/1/04,,Air Nauru,Our Airline
Valuair,1/10/05,,Virgin Samoa,1/1/04,,Air Pacific,Fiji Airways
Air Paradise International,1/11/05,,Austrian Airlines,1/7/05,,Tiger Airways,Tigerair
Merpati Nusantara Airlines,1/10/07,,Air Tahiti Nui,1/7/05,,Our Airline,Naura Airlines
Air Nauru,1/12/07,,Airlines PNG,1/11/05,,Air Caledonie,Air Caledonie International
Asian Express Airlines,1/12/07,,Tiger Airways,1/12/05,,LAN Airlines,LATAM Airlines
Lan Chile,1/12/07,,Jetstar,1/12/05,,Air France,
Airnorth,1/1/09,,AirAsia X,1/11/07,,AOM French Airlines,
Air Pacific,1/12/10,,Our Airline,1/1/08,,Air Canada,
Tiger Airways,1/12/10,,LAN Airlines,1/1/08,,Virgin Samoa?,
Our Airline,1/12/12,,Tasman Cargo Airlines,1/1/08,,Austrian Airlines,
Air Caledonie,1/12/12,,V Australia,1/2/09,,Freedom Air International,
Tigerair,1/2/15,,Tigerair,1/1/11,,LAN Airlines,
LAN Airlines,1/5/16,,Fiji Airways,1/1/11,,Our Airline,
Indonesia AirAsia Extra,1/8/16,,Hainan Airlines,1/1/11,,Fiji Airways,
Tianjin Airlines,1/2/20,,Nauru Airlines,1/1/13,,Tigerair,
,,,Air Caledonie International,1/1/13,,Naura Airlines,
,,,Indonesia AirAsia Extra,1/3/15,,Air Caledonie International,
,,,LATAM Airlines,1/6/16,,LATAM Airlines,
,,,Beijing Capital Airlines,1/9/16,,,
,,,Kalitta Air,1/3/20,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
